fecha,Cuentas Corrientes,Efectivo
1984-01-31,262.07300000000004,108.81
1984-02-29,260.169,103.102
1984-03-31,258.53,106.416
1984-04-30,263.423,108.388
1984-05-31,257.11400000000003,112.006
1984-06-30,267.13,119.438
1984-07-31,272.188,111.962
1984-08-31,278.098,114.794
1984-09-30,281.539,116.478
1984-10-31,274.241,125.849
1984-11-30,287.212,129.628
1984-12-31,290.95,208.784
1985-01-31,307.86600000000004,146.681
1985-02-28,306.212,140.466
1985-03-31,309.862,139.074
1985-04-30,312.051,138.363
1985-05-31,310.492,147.008
1985-06-30,317.98199999999997,154.892
1985-07-31,321.957,149.092
1985-08-31,339.281,144.131
1985-09-30,345.338,141.57
1985-10-31,347.01500000000004,157.948
1985-11-30,370.988,165.925
1985-12-31,376.739,263.704
1986-01-31,410.8,182.477
1986-02-28,423.82800000000003,179.866
1986-03-31,409.646,190.248
1986-04-30,427.185,188.197
1986-05-31,437.64599999999996,190.337
1986-06-30,447.687,204.448
1986-07-31,444.60299999999995,198.592
1986-08-31,465.569,193.878
1986-09-30,457.065,188.615
1986-10-31,462.745,203.504
1986-11-30,491.897,210.726
1986-12-31,474.03499999999997,310.455
1987-01-31,529.9730000000001,228.564
1987-02-28,537.942,224.799
1987-03-31,538.907,219.286
1987-04-30,553.473,239.141
1987-05-31,560.1610000000001,241.97
1987-06-30,574.4499999999999,255.483
1987-07-31,587.9530000000001,244.727
1987-08-31,589.006,246.761
1987-09-30,582.852,257.824
1987-10-31,615.2099999999999,262.902
1987-11-30,638.742,269.034
1987-12-31,632.8240000000001,411.742
1988-01-31,683.572,325.561
1988-02-29,662.869,326.963
1988-03-31,633.134,346.65
1988-04-30,676.782,325.262
1988-05-31,685.797,310.908
1988-06-30,712.28,351.143
1988-07-31,706.0609999999999,331.223
1988-08-31,698.009,341.499
1988-09-30,719.534,329.962
1988-10-31,746.264,340.688
1988-11-30,816.2549999999999,386.27
1988-12-31,793.646,520.874
1989-01-31,838.083,385.939
1989-02-28,848.16,372.683
1989-03-31,847.604,384.623
1989-04-30,849.401,395.189
1989-05-31,869.62,411.389
1989-06-30,926.269,426.999
1989-07-31,916.395,403.163
1989-08-31,913.476,417.839
1989-09-30,915.6279999999999,406.694
1989-10-31,950.216,403.252
1989-11-30,1003.884,464.68
1989-12-31,1052.009,642.738
1990-01-31,1069.525,511.47
1990-02-28,1071.325,507.702
1990-03-31,1079.719,498.901
1990-04-30,1135.1970000000001,498.354
1990-05-31,1084.4279999999999,537.961
1990-06-30,1157.679,547.466
1990-07-31,1159.51,515.212
1990-08-31,1191.51,523.329
1990-09-30,1183.556,527.104
1990-10-31,1211.271,575.741
1990-11-30,1269.699,587.092
1990-12-31,1305.183,817.306
1991-01-31,1336.2759999999998,655.708
1991-02-28,1301.9660000000001,629.503
1991-03-31,1315.2440000000001,644.532
1991-04-30,1381.35,605.336
1991-05-31,1437.7150000000001,656.331
1991-06-30,1439.374,701.376
1991-07-31,1409.422,690.711
1991-08-31,1440.6599999999999,664.421
1991-09-30,1561.979,657.584
1991-10-31,1547.272,758.27
1991-11-30,1683.8799999999999,772.468
1991-12-31,1762.92,1032.513
1992-01-31,1738.242,833.448
1992-02-29,1762.7340000000002,805.134
1992-03-31,1824.476,796.477
1992-04-30,2017.016,878.235
1992-05-31,1994.476,900.995
1992-06-30,2135.432,949.008
1992-07-31,2058.013,937.279
1992-08-31,2056.006,920.158
1992-09-30,2040.277,967.863
1992-10-31,2151.755,978.297
1992-11-30,2279.201,1026.1
1992-12-31,2535.278,1406.546
1993-01-31,2455.902,1116.426
1993-02-28,2396.319,1083.452
1993-03-31,2334.829,1177.884
1993-04-30,2616.384,1155.022
1993-05-31,2664.5519999999997,1135.918
1993-06-30,2793.228,1229.5
1993-07-31,2806.566,1214.138
1993-08-31,2838.527,1166.793
1993-09-30,2855.7200000000003,1252.632
1993-10-31,2918.059,1275.554
1993-11-30,3152.051,1272.587
1993-12-31,3376.3779999999997,1748.459
1994-01-31,3353.5060000000003,1420.68
1994-02-28,3418.429,1375.028
1994-03-31,3279.6989999999996,1547.725831
1994-04-30,3435.33,1546.887
1994-05-31,3516.677,1470.164
1994-06-30,3554.287,1691.835
1994-07-31,3731.094,1603.209988
1994-08-31,3637.897,1671.556996
1994-09-30,3710.5330000000004,1631.927995
1994-10-31,3732.5060000000003,1726.361945
1994-11-30,3835.954,1942.381
1994-12-31,4149.044,2269.982964
1995-01-31,4026.299,1832.652999
1995-02-28,3919.8320000000003,1787.616
1995-03-31,3880.1929999999998,1881.943
1995-04-30,3967.171,1969.417
1995-05-31,3791.795,2026.263868
1995-06-30,4057.4310000000005,2128.722868
1995-07-31,4180.139,2058.183998
1995-08-31,3887.8190000000004,2115.226915
1995-09-30,3996.342,2047.747
1995-10-31,4061.4790000000003,2064.767999
1995-11-30,4253.335,2358.624997
1995-12-31,4844.536,2873.3
1996-01-31,4265.786,2406.591
1996-02-29,4256.845,2361.649983
1996-03-31,4580.182,2293.240964
1996-04-30,4579.177,2215.625
1996-05-31,4348.469,2332.485896
1996-06-30,4625.78,2524.515744
1996-07-31,4345.546,2492.523995
1996-08-31,4259.857,2389.296981
1996-09-30,4650.813,2316.198965
1996-10-31,4446.838,2492.081
1996-11-30,4703.784,2500.51
1996-12-31,5752.649,3240.107997
1997-01-31,4897.524,2705.599998
1997-02-28,4914.532999999999,2655.729987
1997-03-31,5069.959,2828.177951
1997-04-30,5239.643,2900.191982
1997-05-31,5252.925,2903.657
1997-06-30,5605.747,3156.837
1997-07-31,5332.0740000000005,3112.915956
1997-08-31,5274.887000000001,2975.413606
1997-09-30,5476.412,2911.529
1997-10-31,5408.72,3189.219998
1997-11-30,5918.146,3265.96
1997-12-31,6845.7029999999995,4102.306965
1998-01-31,5898.6759999999995,3423.16
1998-02-28,5543.129,3335.788926
1998-03-31,5615.725,3247.262
1998-04-30,5376.867,3411.453922
1998-05-31,5523.409,3394.047267
1998-06-30,5417.197,3535.51843
1998-07-31,5238.057,3418.336
1998-08-31,5349.1900000000005,3288.213107
1998-09-30,4980.78,3478.845518
1998-10-31,4885.203,3432.443448
1998-11-30,5278.499,3496.741483
1998-12-31,5922.966,4603.495683
1999-01-31,5312.373,3846.979458
1999-02-28,5023.771,3731.089874
1999-03-31,4802.736,3909.06594
1999-04-30,5042.975,3832.873993
1999-05-31,5238.956354,3934.804719
1999-06-30,4917.721353999999,4575.527493756
1999-07-31,5204.899204,4381.650356
1999-08-31,5123.095204,4256.851677
1999-09-30,4952.703204,4429.795252
1999-10-31,4942.897204,4361.972503
1999-11-30,5234.766204,4305.928723
1999-12-31,6776.899915999999,6037.070837782
2000-01-31,6660.871747,4881.40274118456
2000-02-29,6789.666936,4718.960982684
2000-03-31,6829.6167749999995,4921.655887474
2000-04-30,6989.917586,4911.7238776
2000-05-31,7049.3387729999995,5351.6287508
2000-06-30,7206.928371,5516.682838714
2000-07-31,7448.3186590000005,5471.66328064182
2000-08-31,7055.817214,5550.238784968
2000-09-30,7081.492915000001,5532.17555235375
2000-10-31,7056.331657180001,5547.104821352
2000-11-30,7700.99086857,6045.8286449541
2000-12-31,9444.73245574,7276.0490665895
2001-01-31,7559.43518726,6669.72348482151
2001-02-28,7202.46755501,6492.939044998
2001-03-31,7561.18494417,6263.182706166
2001-04-30,7507.37698361,6167.477495042
2001-05-31,7258.45274289,6412.553829535
2001-06-30,7601.332812999999,6505.237275856
2001-07-31,7454.318803,6350.643353802
2001-08-31,7058.231103,6356.986759656
2001-09-30,7304.17891273,6283.475572209
2001-10-31,7297.016905349999,6670.1978713
2001-11-30,7887.21670645,6868.51599778
2001-12-31,10387.50875691,8349.441371858
2002-01-31,7913.42344791,7565.964306728
2002-02-28,8564.91847513,7488.475887959
2002-03-31,8131.242917039999,7509.963446284
2002-04-30,8886.94449791,7198.66885493
2002-05-31,8711.16859438,7527.803794498
2002-06-30,9316.69442137,7962.265818307
2002-07-31,9203.13056009,8250.137664253
2002-08-31,9072.92082375,8192.592629146
2002-09-30,9002.44177675,8155.28388473
2002-10-31,9224.02286315,8420.16586394
2002-11-30,9395.20671506,8516.694323741
2002-12-31,11642.144450849999,9993.495698491
2003-01-31,10089.76568595,9142.33867052
2003-02-28,9940.44223539,8865.06033118095
2003-03-31,10150.27492482,8713.054290472
2003-04-30,10120.39779601,8939.64493122
2003-05-31,9461.35043788,8829.54660381
2003-06-30,10465.015072049999,9183.31674005
2003-07-31,10450.81465454,9419.67089758
2003-08-31,10273.2217936,9185.34433632
2003-09-30,10551.26288556,9136.99205305
2003-10-31,10396.79970533,9650.60753695
2003-11-30,11058.56530509,9933.92468262
2003-12-31,12965.701572850001,11952.59778729
2004-01-31,11528.07950825,10946.76513141
2004-02-29,11454.18271995,10595.66635888
2004-03-31,11791.475155889999,10729.48422345
2004-04-30,11009.3144841,10388.8507888
2004-05-31,11001.45664247,10390.08406707
2004-06-30,11684.00000493,11351.25865239
2004-07-31,11290.47913328,10855.43747656
2004-08-31,11387.522757679999,10547.5607101
2004-09-30,11725.05136437,10881.42539491
2004-10-31,11625.954297709999,10952.52584366
2004-11-30,12399.45743629,11366.33562395
2004-12-31,15277.553363070001,13836.17018892
2005-01-31,13261.835409989999,12526.52485332
2005-02-28,13196.51969203,12170.62439702
2005-03-31,13463.911918509999,12412.45720054
2005-04-30,13463.503135359999,12169.99008369
2005-05-31,13189.68211384,12215.64829615
2005-06-30,14207.08146433,13267.81994853
2005-07-31,13272.305822179998,12864.27239122
2005-08-31,13864.4012786,13090.04449278
2005-09-30,13362.05832586,12922.24624721
2005-10-31,13593.91183081,13276.22090048
2005-11-30,15554.732468630002,14346.61005849
2005-12-31,17983.76801166,16308.87983502
2006-01-31,15700.84719841,14938.27045838
2006-02-28,15261.36186909,14580.12215143
2006-03-31,15082.6118441,14863.01968005
2006-04-30,15171.90612285,15018.57085483
2006-05-31,15593.732163640001,15740.08274811
2006-06-30,16475.53562525,16490.62946037
2006-07-31,16101.284603349999,16577.34057187
2006-08-31,17123.231002549997,16887.61926728
2006-09-30,15879.55319702,16687.58236678
2006-10-31,16508.01281236,16688.99422609
2006-11-30,17456.80374995,17830.62010059
2006-12-31,20450.98257755,20076.52025727
2007-01-31,17949.98260747,18466.43239816
2007-02-28,17818.63158356,18205.05970132
2007-03-31,17756.10562069,17602.21144754
2007-04-30,18598.80831187,17502.31136063
2007-05-31,17903.7096145,17902.86108533
2007-06-30,17971.74267773,18193.45460709
2007-07-31,17886.06577252,17863.48584004
2007-08-31,17569.21674451,17940.09043023
2007-09-30,18752.50799215,17940.20788632
2007-10-31,19579.26972956,19019.97757806
2007-11-30,18888.93916963,19404.73050356
2007-12-31,23022.2822765,22339.98836193
2008-01-31,19249.89742699,20755.78708709
2008-02-29,19213.144763030003,19613.4306985
2008-03-31,19370.65506165,19118.77715901
2008-04-30,19492.288329130002,19330.75271783
2008-05-31,18663.722507090002,18805.0924618
2008-06-30,20003.27169025,19370.33719208
