fecha,Efectivo,m1,m2,m3
1984-01-31,108.81,370.88300000000004,1019.22,1068.069
1984-02-29,103.102,363.27099999999996,1026.6039999999998,1076.641
1984-03-31,106.416,364.94599999999997,1035.349,1088.525
1984-04-30,108.388,371.81100000000004,1043.631,1099.721
1984-05-31,112.006,369.12,1042.105,1104.846
1984-06-30,119.438,386.568,1071.569,1128.912
1984-07-31,111.962,384.15,1081.1329999999998,1139.474
1984-08-31,114.794,392.892,1099.656,1156.238
1984-09-30,116.478,398.017,1131.038,1190.64
1984-10-31,125.849,400.09,1150.405,1208.883
1984-11-30,129.628,416.84,1167.913,1229.885
1984-12-31,208.784,499.734,1252.327,1311.002
1985-01-31,146.681,454.547,1281.814,1345.568
1985-02-28,140.466,446.678,1308.002,1361.7510000000002
1985-03-31,139.074,448.93600000000004,1324.179,1391.112
1985-04-30,138.363,450.414,1341.268,1398.95
1985-05-31,147.008,457.5,1362.524,1430.579
1985-06-30,154.892,472.87399999999997,1399.06,1470.126
1985-07-31,149.092,471.049,1431.638,1507.5420000000001
1985-08-31,144.131,483.41200000000003,1456.0500000000002,1543.207
1985-09-30,141.57,486.908,1484.187,1554.922
1985-10-31,157.948,504.9630000000001,1524.536,1609.824
1985-11-30,165.925,536.913,1569.26,1651.619
1985-12-31,263.704,640.443,1680.91,1749.962
1986-01-31,182.477,593.277,1725.722,1809.231
1986-02-28,179.866,603.6940000000001,1774.4630000000002,1847.0049999999999
1986-03-31,190.248,599.894,1805.272,1883.338
1986-04-30,188.197,615.3820000000001,1825.078,1893.797
1986-05-31,190.337,627.983,1871.585,1946.835
1986-06-30,204.448,652.135,1914.405,1997.335
1986-07-31,198.592,643.1949999999999,1934.158,2024.7540000000001
1986-08-31,193.878,659.447,1951.411,2031.5349999999999
1986-09-30,188.615,645.6800000000001,1967.977,2047.631
1986-10-31,203.504,666.249,2005.576,2090.544
1986-11-30,210.726,702.623,2050.1490000000003,2136.357
1986-12-31,310.455,784.49,2171.98,2249.8450000000003
1987-01-31,228.564,758.537,2209.451,2295.455
1987-02-28,224.799,762.741,2256.084,2355.717
1987-03-31,219.286,758.193,2302.333,2394.454
1987-04-30,239.141,792.6139999999999,2371.5209999999997,2464.306
1987-05-31,241.97,802.1310000000001,2415.909,2517.1229999999996
1987-06-30,255.483,829.933,2464.807,2570.2670000000003
1987-07-31,244.727,832.6800000000001,2509.999,2618.8309999999997
1987-08-31,246.761,835.7669999999999,2542.015,2656.632
1987-09-30,257.824,840.6759999999999,2600.395,2742.463
1987-10-31,262.902,878.1119999999999,2641.3199999999997,2775.235
1987-11-30,269.034,907.776,2668.261,2796.7400000000002
1987-12-31,411.742,1044.566,2795.3450000000003,2923.2670000000003
1988-01-31,325.561,1009.133,2851.478,2976.674
1988-02-29,326.963,989.8320000000001,2866.842,3037.116
1988-03-31,346.65,979.784,2884.723,3050.83
1988-04-30,325.262,1002.0440000000001,2956.324,3103.6130000000003
1988-05-31,310.908,996.705,2985.4,3164.35
1988-06-30,351.143,1063.423,3086.658,3274.411
1988-07-31,331.223,1037.2839999999999,3076.7479999999996,3282.471
1988-08-31,341.499,1039.508,3123.9260000000004,3332.3689999999997
1988-09-30,329.962,1049.496,3164.056,3356.636
1988-10-31,340.688,1086.952,3209.148,3409.8540000000003
1988-11-30,386.27,1202.5249999999999,3327.0550000000003,3547.292
1988-12-31,520.874,1314.52,3455.858,3641.3680000000004
1989-01-31,385.939,1224.022,3534.465,3712.4179999999997
1989-02-28,372.683,1220.8429999999998,3614.8289999999997,3812.397
1989-03-31,384.623,1232.227,3684.817,3891.738
1989-04-30,395.189,1244.59,3778.321,3947.069
1989-05-31,411.389,1281.009,3897.729,4130.008
1989-06-30,426.999,1353.268,4026.695,4257.28
1989-07-31,403.163,1319.558,4099.822,4379.652700000001
1989-08-31,417.839,1331.315,4167.2970000000005,4472.9879
1989-09-30,406.694,1322.322,4166.74,4464.6872
1989-10-31,403.252,1353.468,4232.536,4536.6201
1989-11-30,464.68,1468.564,4361.151,4696.8536
